"TABLE_NAME";"COLUMN_NAME";"DATA_TYPE";"DATA_LENGTH";"CHAR_LENGTH";"NULLABLE";"DATA_PRECISION";"DATA_SCALE"
"AA_JORGE_PRODUCTOS_CAMARA";"TRO_NROINT";"NUMBER";"22";"0";"N";"8";"0"
"AA_JORGE_PRODUCTOS_CAMARA";"TRO_NUMERO";"NUMBER";"22";"0";"N";"8";"0"
"AA_JORGE_PRODUCTOS_CAMARA";"FAE_FECHA";"DATE";"7";"0";"N";"";""
"AA_JORGE_PRODUCTOS_CAMARA";"ART_CODIGO";"NUMBER";"22";"0";"N";"8";"0"
"AA_JORGE_PRODUCTOS_CAMARA";"CLA_CODIGO";"NUMBER";"22";"0";"N";"4";"0"
"AA_JORGE_PRODUCTOS_CAMARA";"CLA_DENOM";"VARCHAR2";"40";"40";"N";"";""
"AA_JORGE_PRODUCTOS_CAMARA";"TIP_CODIGO";"VARCHAR2";"3";"3";"N";"";""
"AA_JORGE_PRODUCTOS_CAMARA";"GOR_CODIGO";"NUMBER";"22";"0";"N";"2";"0"
"AA_JORGE_PRODUCTOS_CAMARA";"AAAA";"VARCHAR2";"44";"44";"Y";"";""
"AFECCIONES";"AFE_CODIGO";"NUMBER";"22";"0";"N";"4";"0"
"AFECCIONES";"AFE_DENOM";"VARCHAR2";"100";"100";"N";"";""
"AFIPRECARTICULOS";"ARA_CODIGO";"NVARCHAR2";"12";"6";"N";"";""
"AFIPRECARTICULOS";"ARA_DENOM";"NVARCHAR2";"300";"150";"Y";"";""
"AGENDA";"AGE_CODIGO";"NUMBER";"22";"0";"N";"8";"0"
"AGENDA";"RUBA_CODIGO";"NUMBER";"22";"0";"N";"2";"0"
"AGENDA";"PROV_CODIGO";"NUMBER";"22";"0";"N";"2";"0"
"AGENDA";"AGE_DENOM";"VARCHAR2";"50";"50";"N";"";""
"AGENDA";"AGE_DOMICILIO";"VARCHAR2";"80";"80";"Y";"";""
"AGENDA";"AGE_LOCALIDAD";"VARCHAR2";"20";"20";"Y";"";""
"AGENDA";"AGE_CODPOS";"VARCHAR2";"7";"7";"Y";"";""
"AGENDA";"AGE_OBSERV";"VARCHAR2";"300";"300";"Y";"";""
"AGENDA";"OPE_CODIGO";"NUMBER";"22";"0";"N";"4";"0"
"AGENDA";"AGE_FECCAR";"DATE";"7";"0";"N";"";""
"AGENDADET";"AGE_CODIGO";"NUMBER";"22";"0";"N";"8";"0"
"AGENDADET";"AGED_ITEM";"NUMBER";"22";"0";"N";"3";"0"
"AGENDADET";"AGED_CONTACTO";"VARCHAR2";"50";"50";"N";"";""
"AGENDADET";"AGED_CARGO";"VARCHAR2";"20";"20";"Y";"";""
"AGENDADET";"AGED_TELEFONO";"VARCHAR2";"40";"40";"Y";"";""
"AGENDADET";"AGED_MAIL";"VARCHAR2";"100";"100";"Y";"";""
"AGENDADET";"AGED_OBSERV";"VARCHAR2";"300";"300";"Y";"";""
"AGENDADET";"AGED_PREFIJO";"VARCHAR2";"5";"5";"Y";"";""
"AGENDADET";"AGED_INTERNO";"NUMBER";"22";"0";"Y";"4";"0"
"AGENDADET";"AGED_PRIVADO";"NUMBER";"22";"0";"N";"1";"0"
"AJUSTESCONSIG";"AJCO_NUMERO";"NUMBER";"22";"0";"N";"8";"0"
"AJUSTESCONSIG";"USU_CODIGO";"NUMBER";"22";"0";"N";"8";"0"
"AJUSTESCONSIG";"AJCO_FECHA";"DATE";"7";"0";"N";"";""
"AJUSTESCONSIG";"AJCO_DOH";"CHAR";"1";"1";"N";"";""
"AJUSTESCONSIG";"AJCO_IMPORTE";"NUMBER";"22";"0";"N";"12";"2"
"AJUSTESCONSIG";"AJCO_OBSERV";"VARCHAR2";"300";"300";"Y";"";""
"AJUSTESCONSIG";"OPE_CODIGO";"NUMBER";"22";"0";"N";"4";"0"
"AJUSTESCONSIG";"AJCO_FECCAR";"DATE";"7";"0";"N";"";""
"AJUSTESCUE";"AJC_NUMERO";"NUMBER";"22";"0";"N";"8";"0"
"AJUSTESCUE";"TCC_CODIGO";"NUMBER";"22";"0";"N";"2";"0"
"AJUSTESCUE";"CUE_CODIGO";"NUMBER";"22";"0";"N";"8";"0"
"AJUSTESCUE";"PLA_CODIGO";"NUMBER";"22";"0";"N";"9";"0"
"AJUSTESCUE";"CONT_PLA_CODIGO";"NUMBER";"22";"0";"N";"9";"0"
"AJUSTESCUE";"AJC_FECHA";"DATE";"7";"0";"N";"";""
"AJUSTESCUE";"AJC_DOH";"CHAR";"1";"1";"N";"";""
"AJUSTESCUE";"AJC_TOTAL";"NUMBER";"22";"0";"N";"12";"2"
"AJUSTESCUE";"AJC_SALDO";"NUMBER";"22";"0";"N";"12";"2"
"AJUSTESCUE";"AJC_OBSERV";"VARCHAR2";"300";"300";"Y";"";""
"AJUSTESCUE";"AJC_IMPRESO";"NUMBER";"22";"0";"N";"1";"0"
"AJUSTESCUE";"OPE_CODIGO";"NUMBER";"22";"0";"N";"4";"0"
"AJUSTESCUE";"AJC_FECCAR";"DATE";"7";"0";"N";"";""
"AJUSTESCUE";"CEN_CODIGO";"NUMBER";"22";"0";"Y";"5";"0"
"AJUSTESCUE";"AJC_NROCOM";"NUMBER";"22";"0";"N";"12";"0"
"AJUSTESCUE";"TAC_CODIGO";"NUMBER";"22";"0";"Y";"8";"0"
"AJUSTESCUE";"AJC_CANTIDAD";"NUMBER";"22";"0";"Y";"11";"2"
"AJUSTESCUE";"LOT_NUMERO";"NUMBER";"22";"0";"Y";"8";"0"
"AJUSTESCUE";"PROY_NUMERO";"NUMBER";"22";"0";"N";"8";"0"
"AJUSTESSTOCK";"AST_NUMERO";"NUMBER";"22";"0";"N";"8";"0"
"AJUSTESSTOCK";"TAS_CODIGO";"NUMBER";"22";"0";"N";"2";"0"
"AJUSTESSTOCK";"FRI_CODIGO";"NUMBER";"22";"0";"N";"8";"0"
"AJUSTESSTOCK";"USU_CODIGO";"NUMBER";"22";"0";"Y";"8";"0"
"AJUSTESSTOCK";"AST_FECHA";"DATE";"7";"0";"N";"";""
"AJUSTESSTOCK";"AST_TOTAL";"NUMBER";"22";"0";"N";"12";"2"
"AJUSTESSTOCK";"AST_OBSERV";"VARCHAR2";"300";"300";"Y";"";""
"AJUSTESSTOCK";"OPE_CODIGO";"NUMBER";"22";"0";"N";"4";"0"
"AJUSTESSTOCK";"AST_FECCAR";"DATE";"7";"0";"N";"";""
"AJUSTESSTOCK";"AST_IMPRESO";"NUMBER";"22";"0";"N";"1";"0"
"AJUSTESSTOCKDET";"AST_NUMERO";"NUMBER";"22";"0";"N";"8";"0"
"AJUSTESSTOCKDET";"ASTD_ITEM";"NUMBER";"22";"0";"N";"3";"0"
"AJUSTESSTOCKDET";"ART_CODIGO";"NUMBER";"22";"0";"N";"8";"0"
"AJUSTESSTOCKDET";"PRO_NUMERO";"NUMBER";"22";"0";"Y";"8";"0"
"AJUSTESSTOCKDET";"PRO_ITEM";"NUMBER";"22";"0";"Y";"3";"0"
"AJUSTESSTOCKDET";"ASTD_CANUNI";"NUMBER";"22";"0";"N";"4";"0"
"AJUSTESSTOCKDET";"ASTD_KILOS";"NUMBER";"22";"0";"N";"12";"2"
"AJUSTESSTOCKDET";"ASTD_PRECIO";"NUMBER";"22";"0";"N";"12";"2"
"ANTIGUEDAD";"ANT_CODIGO";"NUMBER";"22";"0";"N";"2";"0"
"ANTIGUEDAD";"ANT_DENOM";"VARCHAR2";"20";"20";"N";"";""
"ANTIGUEDAD";"PORC_AJU_COSTO";"NUMBER";"22";"0";"N";"5";"2"
"APARATOAFECTADO";"APA_CODIGO";"NUMBER";"22";"0";"N";"4";"0"
"APARATOAFECTADO";"APA_DENOM";"VARCHAR2";"200";"200";"N";"";""
"APARATOAFECTADO_DX";"DIA_CODIGO";"NUMBER";"22";"0";"N";"6";"0"
"APARATOAFECTADO_DX";"APA_CODIGO";"NUMBER";"22";"0";"N";"4";"0"
"APOCRIFOS";"APO_CUIT";"NUMBER";"22";"0";"N";"11";"0"
"APOCRIFOS";"APO_FECDETECCION";"DATE";"7";"0";"Y";"";""
"APOCRIFOS";"APO_FECINFORMADO";"DATE";"7";"0";"Y";"";""
"APOCRIFOSAUX";"APO_CUIT";"NUMBER";"22";"0";"Y";"11";"0"
"APOCRIFOSAUX";"APO_FECDETECCION";"DATE";"7";"0";"Y";"";""
"APOCRIFOSAUX";"APO_FECINFORMADO";"DATE";"7";"0";"Y";"";""
"APOCRIFOSLOG";"APOLOG_FECHA";"DATE";"7";"0";"Y";"";""
"APOCRIFOSLOG";"APOLOG_ESTADO";"NUMBER";"22";"0";"Y";"1";"0"
"APOCRIFOSLOG";"APOLOG_OBSER";"VARCHAR2";"150";"150";"Y";"";""
"APOCRIFOSLOG";"OPE_CODIGO";"NUMBER";"22";"0";"Y";"8";"0"
"APOCRIFOSLOG";"APOLOG_ARCHIVO";"VARCHAR2";"80";"80";"Y";"";""
"APOCRIFOSLOG";"APOLOG_CANREG";"NUMBER";"22";"0";"Y";"12";"0"
"APOCRIFOSLOG";"APOLOG_BYTE";"NUMBER";"22";"0";"Y";"12";"0"
"ARTCONCEPFACT";"ART_CODIGO";"NUMBER";"22";"0";"N";"8";"0"
"ARTCONCEPFACT";"COF_CODIGO";"NUMBER";"22";"0";"N";"4";"0"
"ARTCONCEPFACT";"ACF_CALCULO";"CHAR";"1";"1";"N";"";""
"ARTCONCEPFACT";"ACF_IMPORTE";"NUMBER";"22";"0";"N";"12";"3"
"ARTCONCEPFACT";"ACF_PORCENTAJE";"NUMBER";"22";"0";"N";"8";"4"
"ARTCONCEPFACT";"ACF_ACTUASOBRE";"CHAR";"1";"1";"N";"";""
"ARTCONCEPFACT";"ACF_MINIMO";"NUMBER";"22";"0";"N";"12";"2"
"ARTCONCEPFACT";"ACF_CONDICION";"VARCHAR2";"200";"200";"Y";"";""
"ARTICULOIDIOMA";"IDI_CODIGO";"NUMBER";"22";"0";"N";"2";"0"
"ARTICULOIDIOMA";"ART_CODIGO";"NUMBER";"22";"0";"N";"8";"0"
"ARTICULOIDIOMA";"AID_DENOM";"VARCHAR2";"40";"40";"N";"";""
"ARTICULOIDIOMAEP";"ART_CODIGO";"NUMBER";"22";"0";"N";"8";"0"
"ARTICULOIDIOMAEP";"IDI_CODIGO";"NUMBER";"22";"0";"N";"3";"0"
"ARTICULOIDIOMAEP";"AID_DENOM";"VARCHAR2";"80";"80";"N";"";""
"ARTICULOIDIOMAEP";"AID_TAGGFA";"VARCHAR2";"4000";"4000";"Y";"";""
"ARTICULOPUESTOVENTA";"ART_CODIGO";"NUMBER";"22";"0";"N";"8";"0"
"ARTICULOPUESTOVENTA";"PUE_CODIGO";"NUMBER";"22";"0";"N";"4";"0"
"ARTICULOS";"ART_CODIGO";"NUMBER";"22";"0";"N";"8";"0"
"ARTICULOS";"ART_DENOM";"VARCHAR2";"50";"50";"N";"";""
"ARTICULOS";"ART_ABREV";"VARCHAR2";"20";"20";"Y";"";""
"ARTICULOS";"GRU_CODIGO";"NUMBER";"22";"0";"N";"8";"0"
"ARTICULOS";"PLA_CODIGO";"NUMBER";"22";"0";"N";"9";"0"
"ARTICULOS";"ART_STOCK";"NUMBER";"22";"0";"N";"1";"0"
"ARTICULOS";"ART_INHABILITADO";"NUMBER";"22";"0";"N";"1";"0"
"ARTICULOS";"ART_KILOS";"NUMBER";"22";"0";"N";"8";"3"
"ARTICULOS";"ART_KILOSMIN";"NUMBER";"22";"0";"N";"8";"3"
"ARTICULOS";"ART_KILOSMAX";"NUMBER";"22";"0";"N";"8";"3"
"ARTICULOS";"CUA_CODIGO";"NUMBER";"22";"0";"Y";"2";"0"
"ARTICULOS";"ART_CORREL";"NUMBER";"22";"0";"Y";"1";"0"
"ARTICULOS";"ART_CAJA";"NUMBER";"22";"0";"Y";"1";"0"
"ARTICULOS";"EMB_CODIGO";"NUMBER";"22";"0";"Y";"8";"0"
"ARTICULOS";"ART_PIEZASCAJA";"NUMBER";"22";"0";"N";"3";"0"
"ARTICULOS";"ART_COMODIN";"NUMBER";"22";"0";"N";"1";"0"
"ARTICULOS";"ART_PESOEMBALAJE";"NUMBER";"22";"0";"N";"8";"2"
"ARTICULOS";"ART_MERMACAMARA";"NUMBER";"22";"0";"N";"7";"4"
"ARTICULOS";"TEMPE_CODIGO";"NUMBER";"22";"0";"N";"4";"0"
"ARTICULOS";"ART_LOTECE";"NUMBER";"22";"0";"N";"1";"0"
"ARTICULOS";"ESP_CODIGO";"NUMBER";"22";"0";"Y";"2";"0"
"ARTICULOS";"GRU3_CODIGO";"NUMBER";"22";"0";"Y";"8";"0"
"ARTICULOS";"GRU4_CODIGO";"NUMBER";"22";"0";"Y";"8";"0"
"ARTICULOS";"GRU2_CODIGO";"NUMBER";"22";"0";"N";"8";"0"
"ARTICULOS";"EXP_PLA_CODIGO";"NUMBER";"22";"0";"N";"9";"0"
"ARTICULOS";"NOM_CODIGO";"VARCHAR2";"6";"6";"N";"";""
"ARTICULOS";"GRU5_CODIGO";"NUMBER";"22";"0";"N";"8";"0"
"ARTICULOS";"ART_ABREVCANTPPAL";"VARCHAR2";"5";"5";"Y";"";""
"ARTICULOS";"ART_ABREVCANTSEC";"VARCHAR2";"5";"5";"Y";"";""
"ARTICULOS";"ART_KILOSESTADISTICA";"NUMBER";"22";"0";"N";"1";"0"
"ARTICULOS";"ART_PRESENTCAJA";"NUMBER";"22";"0";"N";"1";"0"
"ARTICULOS";"ART_INVCANTSOL";"NUMBER";"22";"0";"N";"1";"0"
"ARTICULOS";"ART_CODMENUDENCIA";"NUMBER";"22";"0";"Y";"8";"0"
"ARTICULOS";"ART_SERVICIO";"NUMBER";"22";"0";"N";"1";"0"
"ARTICULOS";"ART_HABSENASA";"VARCHAR2";"15";"15";"Y";"";""
"ARTICULOS";"ART_MENUPIEXCAB";"NUMBER";"22";"0";"N";"2";"0"
"ARTICULOS";"ART_MENURINDEOBJ";"NUMBER";"22";"0";"Y";"5";"2"
"ARTICULOS";"ART_EMBALAJEPRI";"NUMBER";"22";"0";"Y";"4";"0"
"ARTICULOS";"ART_EMBALAJESEC";"NUMBER";"22";"0";"Y";"4";"0"
"ARTICULOS";"ART_TEMPTERMOPROCESO";"VARCHAR2";"8";"8";"Y";"";""
"ARTICULOS";"ART_TIEMPOTERMOPROCESO";"VARCHAR2";"5";"5";"Y";"";""
"ARTICULOS";"ART_SIGCERCONGELADO";"NUMBER";"22";"0";"N";"1";"0"
"ARTICULOS";"ARA_CODIGO";"NVARCHAR2";"12";"6";"Y";"";""
"ARTICULOS";"GAOB_CODIGO";"NUMBER";"22";"0";"Y";"3";"0"
"ARTICULOS";"ART_CONHUESO";"NUMBER";"22";"0";"Y";"2";"0"
"ARTICULOS";"ART_CODIGOPADRE";"NUMBER";"22";"0";"Y";"8";"0"
"ARTICULOS";"GBI_CODIGO";"NUMBER";"22";"0";"Y";"3";"0"
"ARTICULOSERVICIOFAENA";"ART_CODIGO";"NUMBER";"22";"0";"N";"8";"0"
"ARTICULOSERVICIOFAENA";"ASF_ACTIVO";"NUMBER";"22";"0";"N";"1";"0"
"ASIGTROPAS";"USU_CODIGO";"NUMBER";"22";"0";"N";"8";"0"
"ASIGTROPAS";"PRC_CODIGO";"NUMBER";"22";"0";"N";"4";"0"
"ASIGTROPAS";"ASIG_TROPAD";"NUMBER";"22";"0";"N";"8";"0"
"ASIGTROPAS";"ASIG_TROPAH";"NUMBER";"22";"0";"N";"8";"0"
"ASIGTROPAS";"ASIG_TROPAU";"NUMBER";"22";"0";"N";"8";"0"
"ASIGTROPAS";"ASIG_FECULTIMA";"DATE";"7";"0";"N";"";""
"ASIGTROPAS";"ASIG_FECVEN";"DATE";"7";"0";"N";"";""
"ASIGTROPAS";"ESP_CODIGO";"NUMBER";"22";"0";"N";"2";"0"
"AUXI_REMITOS";"REM_LETRA";"CHAR";"1";"1";"N";"";""
"AUXI_REMITOS";"PUE_CODIGO";"NUMBER";"22";"0";"N";"4";"0"
"AUXI_REMITOS";"REM_NUMERO";"NUMBER";"22";"0";"N";"8";"0"
"AUXI_REMITOS";"CUE_CODIGO";"NUMBER";"22";"0";"N";"8";"0"
"AUXI_REMITOS";"CSUC_NUMERO";"NUMBER";"22";"0";"N";"4";"0"
"AUXI_REMITOS";"CLIV_CODIGO";"NUMBER";"22";"0";"Y";"8";"0"
"AUXI_REMITOS";"USU_CODIGO";"NUMBER";"22";"0";"N";"8";"0"
"AUXI_REMITOS";"FRI_CODIGO";"NUMBER";"22";"0";"N";"8";"0"
"AUXI_REMITOS";"LPR_CODIGO";"NUMBER";"22";"0";"N";"8";"0"
"AUXI_REMITOS";"REM_FECHA";"DATE";"7";"0";"N";"";""
"AUXI_REMITOS";"REM_TOTAL";"NUMBER";"22";"0";"N";"12";"2"
"AUXI_REMITOS";"TRP_CODIGO";"NUMBER";"22";"0";"N";"8";"0"
"AUXI_REMITOS";"REM_HORASALIDA";"VARCHAR2";"8";"8";"N";"";""
"AUXI_REMITOS";"REM_CERTIFICADO";"NUMBER";"22";"0";"N";"8";"0"
"AUXI_REMITOS";"REM_FACTURADO";"NUMBER";"22";"0";"N";"1";"0"
"AUXI_REMITOS";"REM_IMPRESO";"NUMBER";"22";"0";"N";"1";"0"
"AUXI_REMITOS";"REM_OBSERV";"VARCHAR2";"300";"300";"Y";"";""
"AUXI_REMITOS";"EREM_CODIGO";"NUMBER";"22";"0";"N";"2";"0"
"AUXI_REMITOS";"REM_ORDENCARGA";"NUMBER";"22";"0";"N";"8";"0"
"AUXI_REMITOS";"OPE_CODIGO";"NUMBER";"22";"0";"N";"4";"0"
"AUXI_REMITOS";"REM_FECCAR";"DATE";"7";"0";"N";"";""
"AUXI_REMITOS";"REM_MANUAL";"NUMBER";"22";"0";"Y";"8";"0"
"AUXI_REMITOS";"VEN_CODIGO";"NUMBER";"22";"0";"N";"4";"0"
"AUXI_REMITOS";"BAJ_CUE_CODIGO";"NUMBER";"22";"0";"Y";"8";"0"
"AUXI_REMITOS";"REM_VIAJE";"NUMBER";"22";"0";"N";"2";"0"
"AUXI_REMITOS";"CHO_CODIGO";"NUMBER";"22";"0";"N";"8";"0"
"AUXI_REMITOS";"PED_NUMERO";"NUMBER";"22";"0";"Y";"8";"0"
"AUXI_REMITOS";"REM_ROMANEOREMITO";"NUMBER";"22";"0";"Y";"8";"0"
"AUXI_REMITOS";"REM_CODREMITO";"NUMBER";"22";"0";"Y";"10";"0"
"AUXI_REMITOS";"REM_NROREMITO";"NUMBER";"22";"0";"Y";"8";"0"
"AUXI_REMITOS";"REM_CRE";"NUMBER";"22";"0";"Y";"14";"0"
"AUXI_REMITOS";"REM_FECEMISION";"DATE";"7";"0";"Y";"";""
"AUXI_REMITOS";"REM_FECVENCIMIENTO";"DATE";"7";"0";"Y";"";""
"AUXI_REMITOS";"REM_OBSERVRCE";"NVARCHAR2";"1000";"500";"Y";"";""
"AUXI_REMITOS";"REM_FECRCE";"DATE";"7";"0";"Y";"";""
"AUXI_REMITOS";"REM_KMVIAJE";"NUMBER";"22";"0";"Y";"10";"2"
"AUXI_REMITOS";"REM_FECHAINICIOVIAJE";"DATE";"7";"0";"Y";"";""
"AUXI_REMITOS";"REST_CODIGO";"NUMBER";"22";"0";"Y";"2";"0"
"AUXI_REMITOS";"RTM_CODIGO";"NUMBER";"22";"0";"Y";"2";"0"
"AUXI_REMITOS";"RRECEP_CODIGO";"NUMBER";"22";"0";"N";"2";"0"
"AUX_OPNUEVAS";"CUE_CODIGO";"NUMBER";"22";"0";"N";"8";"0"
"AUX_OPNUEVAS";"OPA_TOTAL";"NUMBER";"22";"0";"N";"12";"2"
"AUX_OPNUEVAS";"OPA_SALDO";"NUMBER";"22";"0";"N";"12";"2"
"AUX_OPNUEVAS";"PLA_CODIGO";"NUMBER";"22";"0";"N";"9";"0"
"AUX_OPNUEVAS";"NUM";"NUMBER";"22";"0";"N";"8";"0"
"AUX_OPNUEVAS";"USU_CODIGO";"NUMBER";"22";"0";"N";"8";"0"
"AUX_PRODUCTOS";"PRO_NUMERO";"NUMBER";"22";"0";"N";"8";"0"
"AUX_PRODUCTOS";"PRO_ITEM";"NUMBER";"22";"0";"N";"3";"0"
"AUX_PRODUCTOS";"ART_CODIGO";"NUMBER";"22";"0";"N";"8";"0"
"AUX_PRODUCTOS";"PRO_KILOS";"NUMBER";"22";"0";"N";"8";"3"
"AUX_PRODUCTOS";"PRO_ITEMANT";"NUMBER";"22";"0";"N";"3";"0"
"AUX_PRODUCTOS";"PRO_IDENTIF";"NUMBER";"22";"0";"Y";"8";"0"
"AUX_PRODUCTOS";"EPR_CODIGO";"NUMBER";"22";"0";"N";"2";"0"
"AUX_PRODUCTOS";"FRI_CODIGO";"NUMBER";"22";"0";"N";"8";"0"
"AUX_PRODUCTOS";"USU_CODIGO";"NUMBER";"22";"0";"N";"8";"0"
"AUX_PRODUCTOS";"PRO_CANUNI";"NUMBER";"22";"0";"N";"4";"0"
"AUX_PRODUCTOS";"PRO_FECCAR";"DATE";"7";"0";"N";"";""
"AUX_PRODUCTOS";"PRO_REMANENTE";"NUMBER";"22";"0";"N";"1";"0"
"AUX_PRODUCTOS";"TRO_NROINT";"NUMBER";"22";"0";"Y";"8";"0"
"AUX_PRODUCTOS";"PRO_FECHA";"DATE";"7";"0";"N";"";""
"AUX_PRODUCTOS";"PRO_IMPRESO";"NUMBER";"22";"0";"N";"1";"0"
"AUX_PRODUCTOS";"PRO_MARCA";"VARCHAR2";"5";"5";"Y";"";""
"AUX_PRODUCTOS";"TIPC_CODIGO";"NUMBER";"22";"0";"Y";"2";"0"
"AUX_PRODUCTOS";"CAM_CODIGO";"NUMBER";"22";"0";"N";"4";"0"
"AUX_PRODUCTOS";"PRO_FECVEN";"DATE";"7";"0";"Y";"";""
"AUX_PRODUCTOS";"TTRO_CODIGO";"NUMBER";"22";"0";"N";"2";"0"
"AUX_PRODUCTOS";"TIPD_CODIGO";"NUMBER";"22";"0";"N";"4";"0"
"AUX_PRODUCTOS1";"PRO_NUMERO";"NUMBER";"22";"0";"N";"8";"0"
"AUX_PRODUCTOS1";"PRO_ITEM";"NUMBER";"22";"0";"N";"3";"0"
"AUX_PRODUCTOS1";"ART_CODIGO";"NUMBER";"22";"0";"N";"8";"0"
"AUX_PRODUCTOS1";"PRO_KILOS";"NUMBER";"22";"0";"N";"8";"3"
"AUX_PRODUCTOS1";"PRO_ITEMANT";"NUMBER";"22";"0";"N";"3";"0"
"AUX_PRODUCTOS1";"PRO_IDENTIF";"NUMBER";"22";"0";"Y";"8";"0"
"AUX_PRODUCTOS1";"EPR_CODIGO";"NUMBER";"22";"0";"N";"2";"0"
"AUX_PRODUCTOS1";"FRI_CODIGO";"NUMBER";"22";"0";"N";"8";"0"
"AUX_PRODUCTOS1";"USU_CODIGO";"NUMBER";"22";"0";"N";"8";"0"
"AUX_PRODUCTOS1";"PRO_CANUNI";"NUMBER";"22";"0";"N";"4";"0"
"AUX_PRODUCTOS1";"PRO_FECCAR";"DATE";"7";"0";"N";"";""
"AUX_PRODUCTOS1";"PRO_REMANENTE";"NUMBER";"22";"0";"N";"1";"0"
"AUX_PRODUCTOS1";"TRO_NROINT";"NUMBER";"22";"0";"Y";"8";"0"
